video,ground_truth,our_prediction,crowdkit_prediction,our_correct,crowdkit_correct
001.mp4,pumping fist,pumping fist,abseiling,True,False
002.mp4,playing chess,playing chess,abseiling,True,False
003.mp4,unloading truck,unloading truck,abseiling,True,False
004.mp4,javelin throw,applauding,javelin throw,False,True
005.mp4,bandaging,applying cream,bandaging,False,True
006.mp4,lunge,lunge,abseiling,True,False
008.mp4,bench pressing,bench pressing,abseiling,True,False
009.mp4,bench pressing,applying cream,bench pressing,False,True
010.mp4,shuffling cards,shuffling cards,abseiling,True,False
011.mp4,juggling soccer ball,juggling soccer ball,abseiling,True,False
012.mp4,bench pressing,bench pressing,abseiling,True,False
013.mp4,riding elephant,riding elephant,abseiling,True,False
014.mp4,canoeing or kayaking,canoeing or kayaking,abseiling,True,False
016.mp4,shuffling cards,shuffling cards,abseiling,True,False
017.mp4,abseiling,swinging legs,abseiling,False,True
018.mp4,pumping fist,baby waking up,abseiling,False,False
020.mp4,lunge,pumping fist,lunge,False,True
021.mp4,skateboarding,skateboarding,abseiling,True,False
022.mp4,snatch weight lifting,snatch weight lifting,abseiling,True,False
023.mp4,tango dancing,applauding,tango dancing,False,True
024.mp4,spray painting,applying cream,spray painting,False,True
026.mp4,skateboarding,skateboarding,abseiling,True,False
028.mp4,riding mountain bike,riding mountain bike,abseiling,True,False
029.mp4,fixing hair,fixing hair,abseiling,True,False
030.mp4,vault,vault,abseiling,True,False
033.mp4,dunking basketball,applauding,dunking basketball,False,True
034.mp4,dunking basketball,dunking basketball,abseiling,True,False
035.mp4,swinging legs,swinging legs,abseiling,True,False
037.mp4,canoeing or kayaking,canoeing or kayaking,abseiling,True,False
038.mp4,making snowman,applauding,making snowman,False,True
039.mp4,pole vault,pole vault,abseiling,True,False
041.mp4,tango dancing,applauding,tango dancing,False,True
043.mp4,changing oil,applying cream,changing oil,False,True
046.mp4,tango dancing,applauding,tango dancing,False,True
047.mp4,playing trombone,playing trombone,abseiling,True,False
049.mp4,capoeira,capoeira,abseiling,True,False
050.mp4,bandaging,applying cream,abseiling,False,False
051.mp4,capoeira,capoeira,abseiling,True,False
052.mp4,dancing ballet,dancing ballet,abseiling,True,False
053.mp4,capoeira,capoeira,abseiling,True,False
055.mp4,canoeing or kayaking,canoeing or kayaking,abseiling,True,False
056.mp4,dancing charleston,applauding,dancing charleston,False,True
058.mp4,playing trombone,applauding,playing trombone,False,True
059.mp4,trimming or shaving beard,trimming or shaving beard,abseiling,True,False
060.mp4,ripping paper,laughing,abseiling,False,False
061.mp4,canoeing or kayaking,canoeing or kayaking,abseiling,True,False
062.mp4,dunking basketball,dunking basketball,abseiling,True,False
064.mp4,changing oil,changing oil,abseiling,True,False
065.mp4,snatch weight lifting,snatch weight lifting,abseiling,True,False
066.mp4,playing trombone,applauding,playing trombone,False,True
068.mp4,playing trombone,applauding,playing trombone,False,True
069.mp4,javelin throw,squat,abseiling,False,False
070.mp4,snatch weight lifting,snatch weight lifting,abseiling,True,False
072.mp4,plastering,plastering,abseiling,True,False
073.mp4,sign language interpreting,sign language interpreting,abseiling,True,False
