Experiment,Active_Classifiers,Num_Classifiers,Ensemble_Accuracy,Ensemble_Precision,Ensemble_Recall,Ensemble_F1,Ensemble_Time,DS_Accuracy,DS_Precision,DS_Recall,DS_F1,DS_Time
Baseline (All),"Gemini, GPT-5-mini, TwelveLabs, GPT-4o-mini, Qwen-VL, Replicate, MoonDream2",7,0.924000,0.944973,0.921252,0.926472,0.057291,0.938000,0.931412,0.937365,0.928250,275.213121
Remove Top-1,"GPT-5-mini, TwelveLabs, GPT-4o-mini, Qwen-VL, Replicate, MoonDream2",6,0.882000,0.931427,0.871435,0.889327,0.069898,0.924000,0.919076,0.924106,0.913256,237.359812
Remove Top-2,"TwelveLabs, GPT-4o-mini, Qwen-VL, Replicate, MoonDream2",5,0.827000,0.902191,0.810668,0.829898,0.054004,0.886000,0.875082,0.878909,0.864482,206.904670
Remove Top-3,"GPT-4o-mini, Qwen-VL, Replicate, MoonDream2",4,0.752000,0.855497,0.730343,0.761262,0.059394,0.842000,0.835687,0.817638,0.805129,157.260102
Remove Top-4,"Qwen-VL, Replicate, MoonDream2",3,0.535000,0.843472,0.519330,0.587900,0.051858,0.688000,0.687665,0.655288,0.634513,120.012696
Remove Top-5,"Replicate, MoonDream2",2,0.049000,0.174306,0.047644,0.060322,0.039804,0.504000,0.486585,0.465609,0.426388,82.506455
Remove Gemini,"GPT-5-mini, TwelveLabs, GPT-4o-mini, Qwen-VL, Replicate, MoonDream2",6,0.882000,0.931427,0.871435,0.889327,0.062007,0.924000,0.919076,0.924106,0.913256,233.948599
Remove GPT-5-mini,"Gemini, TwelveLabs, GPT-4o-mini, Qwen-VL, Replicate, MoonDream2",6,0.883000,0.934248,0.871044,0.890860,0.066520,0.928000,0.923565,0.930327,0.919613,94.453458
Remove TwelveLabs,"Gemini, GPT-5-mini, GPT-4o-mini, Qwen-VL, Replicate, MoonDream2",6,0.905000,0.939396,0.890573,0.904428,0.067154,0.933000,0.930433,0.928018,0.922116,64.708361
Remove GPT-4o-mini,"Gemini, GPT-5-mini, TwelveLabs, Qwen-VL, Replicate, MoonDream2",6,0.912000,0.948483,0.904845,0.919352,0.068309,0.941000,0.934352,0.940921,0.932288,71.451433
Remove Qwen-VL,"Gemini, GPT-5-mini, TwelveLabs, GPT-4o-mini, Replicate, MoonDream2",6,0.926000,0.943795,0.920318,0.926015,0.063786,0.939000,0.931529,0.935933,0.928254,133.483407
Gemini + Bottom-1,"Gemini, MoonDream2",2,0.056000,0.193989,0.058240,0.075981,0.054302,0.482000,0.465201,0.439675,0.402721,277.504997
Gemini + Bottom-2,"Gemini, Replicate, MoonDream2",3,0.640000,0.924376,0.606902,0.682070,0.067276,0.840000,0.842934,0.824278,0.815209,275.213121
Gemini + Bottom-3,"Gemini, Qwen-VL, Replicate, MoonDream2",4,0.781000,0.886401,0.747722,0.789303,0.075386,0.877000,0.873745,0.855869,0.846621,206.904670
